Part Family,Material Grade,Threading Type,Coating Type,Weight (MT),Length (inches),Diameter (inches),RM Cost/MT,Volume,Alpha,Beta,Gamma,Price
India,F22,VAM TOP®,Xylan Coating,15,89,10,"$1,998.00",6990.043654,2.5,1.2,1.01,"$11,891,162.67"
Europe,F22,JFE Lion,Cu Plating,69,101,25,"$2,400.00",49578.25906,2.5,1.15,1.02,"$98,049,832.23"
USA,F22,JFE Lion,Carbide Coating,114,7,10,"$2,528.07",549.7787144,2.5,1.15,1.1,"$1,235,133.41"
USA,F22,JFE Lion,Ni Plating,15,56,5,"$2,528.07",1099.557429,2.5,1.15,1.05,"$2,357,981.97"
Brazil,F22,VAM TOP®,Ni Plating,43,24,17,"$2,379.00",5447.521661,2.5,1.2,1.05,"$11,471,237.77"
China,4130,VAM TOP®,Cu Plating,150,57,15,"$1,370.00",10072.73145,1.8,1.2,1.02,"$8,543,347.37"
India,F22,JFE Lion,Carbide Coating,74,12,36,"$1,998.00",12214.51224,2.5,1.15,1.1,"$21,687,448.80"
Europe,4130,VAM TOP®,Xylan Coating,171,91,39,"$1,470.00",108707.7452,1.8,1.2,1.01,"$97,962,366.36"
India,4130,TenarisHydril Blue®,Phosphating,156,15,7,"$1,190.00",577.2676501,1.8,1.17,1,"$406,526.51"
Romania,F22,VAM TOP®,Carbide Coating,14,49,26,"$2,415.00",26015.52876,2.5,1.2,1.1,"$58,259,942.57"
USA,4130,JFE Lion,Ni Plating,7,90,1,"$1,690.50",70.68583471,1.8,1.15,1.05,"$72,981.63"
USA,4130,JFE Lion,Carbide Coating,179,40,19,"$1,690.50",11341.14948,1.8,1.15,1.1,"$12,267,091.37"
Romania,4130,VAM TOP®,Carbide Coating,141,33,3,"$1,609.20",233.2632545,1.8,1.2,1.1,"$250,616.18"
Romania,F22,VAM TOP®,Xylan Coating,169,23,39,"$2,415.00",27475.58395,2.5,1.2,1.01,"$56,495,390.51"
Brazil,4130,VAM TOP®,Carbide Coating,68,102,39,"$1,781.00",121848.2419,1.8,1.2,1.1,"$144,889,176.10"
Singapore,F22,VAM TOP®,Ni Plating,21,49,39,"$2,215.29",58534.93972,2.5,1.2,1.05,"$114,779,052.73"
Singapore,4130,VAM TOP®,Xylan Coating,194,44,19,"$1,473.45",12475.26443,1.8,1.2,1.01,"$11,268,512.94"
USA,4130,TenarisHydril Blue®,Cu Plating,5,52,35,"$1,690.50",50029.86301,1.8,1.17,1.02,"$51,051,598.77"
Brazil,4130,VAM TOP®,Xylan Coating,176,82,11,"$1,781.00",7792.720577,1.8,1.2,1.01,"$8,508,136.88"
India,F22,TenarisHydril Blue®,Ni Plating,69,134,1,"$1,998.00",105.2433539,2.5,1.17,1.05,"$181,472.85"
China,4130,VAM TOP®,Xylan Coating,165,66,10,"$1,370.00",5183.627878,1.8,1.2,1.01,"$4,353,472.74"
Romania,4130,TenarisHydril Blue®,Phosphating,53,138,15,"$1,609.20",24386.61297,1.8,1.17,1,"$23,223,421.07"
USA,4130,JFE Lion,Xylan Coating,181,105,34,"$1,690.50",95331.62907,1.8,1.15,1.01,"$94,678,251.48"
Singapore,4130,JFE Lion,Cu Plating,123,100,19,"$1,473.45",28352.8737,1.8,1.15,1.02,"$24,786,164.26"
China,F22,VAM TOP®,Xylan Coating,76,91,34,"$1,830.00",82620.7452,2.5,1.2,1.01,"$128,732,779.38"
Brazil,F22,JFE Lion,Carbide Coating,102,123,29,"$2,379.00",81243.94222,2.5,1.15,1.1,"$171,760,100.18"
Romania,F22,JFE Lion,Phosphating,132,25,6,"$2,415.00",706.8583471,2.5,1.15,1,"$1,379,093.45"
China,F22,TenarisHydril Blue®,Cu Plating,59,30,23,"$1,830.00",12464.26885,2.5,1.17,1.02,"$19,122,746.15"
Romania,F22,TenarisHydril Blue®,Xylan Coating,115,134,25,"$2,415.00",65777.09618,2.5,1.17,1.01,"$131,869,814.80"
India,F22,JFE Lion,Cu Plating,162,57,39,"$1,998.00",68091.66457,2.5,1.15,1.02,"$112,107,269.68"
China,F22,TenarisHydril Blue®,Cu Plating,129,29,33,"$1,830.00",24803.6594,2.5,1.17,1.02,"$38,053,903.35"
India,F22,JFE Lion,Cu Plating,108,8,40,"$1,998.00",10053.09649,2.5,1.15,1.02,"$16,551,588.31"
Romania,F22,JFE Lion,Phosphating,195,139,38,"$2,415.00",157641.9778,2.5,1.15,1,"$307,562,355.88"
Brazil,4130,VAM TOP®,Ni Plating,160,18,20,"$1,781.00",5654.866776,1.8,1.2,1.05,"$6,418,531.36"
China,4130,JFE Lion,Carbide Coating,23,124,7,"$1,370.00",4772.079241,1.8,1.15,1.1,"$4,183,093.43"
Europe,4130,TenarisHydril Blue®,Cu Plating,157,125,34,"$1,470.00",113490.0346,1.8,1.17,1.02,"$100,702,423.35"
Europe,4130,VAM TOP®,Carbide Coating,182,84,33,"$1,470.00",71845.08239,1.8,1.2,1.1,"$70,512,666.49"
Europe,4130,JFE Lion,Carbide Coating,133,117,11,"$1,470.00",11118.8818,1.8,1.15,1.1,"$10,457,979.80"
China,F22,JFE Lion,Carbide Coating,139,91,27,"$1,830.00",52102.52876,2.5,1.15,1.1,"$84,731,861.14"
USA,F22,VAM TOP®,Carbide Coating,131,74,33,"$2,528.07",63292.0964,2.5,1.2,1.1,"$148,374,352.13"
China,F22,TenarisHydril Blue®,Carbide Coating,67,140,33,"$1,830.00",119741.804,2.5,1.17,1.1,"$198,117,008.66"
USA,4130,VAM TOP®,Xylan Coating,193,61,10,"$1,690.50",4790.928797,1.8,1.2,1.01,"$4,964,966.66"
Singapore,4130,JFE Lion,Ni Plating,92,46,16,"$1,473.45",9248.848772,1.8,1.15,1.05,"$8,323,175.38"
Romania,4130,TenarisHydril Blue®,Xylan Coating,66,26,1,"$1,609.20",20.42035225,1.8,1.17,1.01,"$19,640.81"
Brazil,4130,VAM TOP®,Carbide Coating,85,74,26,"$1,781.00",39288.75773,1.8,1.2,1.1,"$46,718,078.57"
Brazil,F22,TenarisHydril Blue®,Carbide Coating,13,106,28,"$2,379.00",65269.72897,2.5,1.17,1.1,"$140,388,368.45"
Singapore,4130,JFE Lion,Xylan Coating,183,84,31,"$1,473.45",63400.48134,1.8,1.15,1.01,"$54,881,503.10"
Singapore,F22,VAM TOP®,Cu Plating,199,57,31,"$2,215.29",43021.7552,2.5,1.2,1.02,"$81,949,528.31"
USA,F22,VAM TOP®,Carbide Coating,81,19,3,"$2,528.07",134.3030859,2.5,1.2,1.1,"$314,843.95"
USA,F22,VAM TOP®,Xylan Coating,131,103,38,"$2,528.07",116813.8396,2.5,1.2,1.01,"$251,438,827.43"
Singapore,F22,TenarisHydril Blue®,Phosphating,62,101,11,"$2,215.29",9598.350955,2.5,1.17,1,"$17,476,698.85"
India,F22,TenarisHydril Blue®,Cu Plating,163,74,2,"$1,998.00",232.4778564,2.5,1.17,1.02,"$389,412.10"
Romania,4130,VAM TOP®,Phosphating,65,64,11,"$1,609.20",6082.123377,1.8,1.2,1,"$5,940,531.74"
Romania,4130,TenarisHydril Blue®,Cu Plating,37,135,2,"$1,609.20",424.1150082,1.8,1.17,1.02,"$411,963.30"
Singapore,F22,JFE Lion,Phosphating,91,126,2,"$2,215.29",395.8406744,2.5,1.15,1,"$708,427.11"
USA,F22,JFE Lion,Xylan Coating,67,121,29,"$2,528.07",79922.90251,2.5,1.15,1.01,"$164,864,019.94"
Brazil,4130,JFE Lion,Carbide Coating,86,17,29,"$1,781.00",11228.83754,1.8,1.15,1.1,"$12,795,818.42"
India,4130,VAM TOP®,Ni Plating,178,13,28,"$1,190.00",8004.778081,1.8,1.2,1.05,"$6,070,795.84"
Singapore,4130,JFE Lion,Cu Plating,150,117,1,"$1,473.45",91.89158512,1.8,1.15,1.02,"$80,331.89"
USA,F22,JFE Lion,Phosphating,49,48,16,"$2,528.07",9650.972632,2.5,1.15,1,"$19,710,804.39"
India,F22,TenarisHydril Blue®,Ni Plating,139,123,19,"$1,998.00",34874.03465,2.5,1.17,1.05,"$60,133,871.89"
India,F22,VAM TOP®,Phosphating,89,32,34,"$1,998.00",29053.44886,2.5,1.2,1,"$48,935,130.66"
Brazil,F22,TenarisHydril Blue®,Ni Plating,62,62,23,"$2,379.00",25759.48896,2.5,1.17,1.05,"$52,887,516.56"
India,4130,TenarisHydril Blue®,Phosphating,196,87,23,"$1,190.00",36146.37967,1.8,1.17,1,"$25,455,196.52"
Brazil,4130,TenarisHydril Blue®,Cu Plating,87,89,32,"$1,781.00",71578.04702,1.8,1.17,1.02,"$76,949,999.73"
Europe,F22,VAM TOP®,Carbide Coating,53,108,20,"$2,400.00",33929.20066,2.5,1.2,1.1,"$75,510,114.65"
Romania,4130,TenarisHydril Blue®,Carbide Coating,76,8,3,"$1,609.20",56.54866776,1.8,1.17,1.1,"$59,236.55"
Romania,4130,JFE Lion,Ni Plating,128,44,25,"$1,609.20",21598.44949,1.8,1.15,1.05,"$21,227,486.02"
Brazil,F22,JFE Lion,Ni Plating,103,12,32,"$2,379.00",9650.972632,2.5,1.15,1.05,"$19,475,965.39"
Brazil,4130,JFE Lion,Xylan Coating,158,32,25,"$1,781.00",15707.96327,1.8,1.15,1.01,"$16,435,458.94"
Singapore,4130,JFE Lion,Carbide Coating,164,106,10,"$1,473.45",8325.220532,1.8,1.15,1.1,"$7,848,750.08"
USA,F22,TenarisHydril Blue®,Xylan Coating,62,49,17,"$2,528.07",11122.02339,2.5,1.17,1.01,"$23,341,376.47"
Singapore,4130,JFE Lion,Phosphating,121,67,3,"$1,473.45",473.5950925,1.8,1.15,1,"$405,900.20"
USA,4130,VAM TOP®,Ni Plating,47,91,29,"$1,690.50",60107.30684,1.8,1.2,1.05,"$64,757,759.52"
India,4130,VAM TOP®,Phosphating,66,31,22,"$1,190.00",11784.11404,1.8,1.2,1,"$8,511,458.17"
China,4130,JFE Lion,Cu Plating,196,18,16,"$1,370.00",3619.114737,1.8,1.15,1.02,"$2,941,709.32"
USA,4130,JFE Lion,Cu Plating,178,53,23,"$1,690.50",22020.20831,1.8,1.15,1.02,"$22,085,815.27"
India,F22,JFE Lion,Xylan Coating,133,70,7,"$1,998.00",2693.9157,2.5,1.15,1.01,"$4,391,825.01"
Singapore,F22,VAM TOP®,Ni Plating,60,46,32,"$2,215.29",36995.39509,2.5,1.2,1.05,"$72,542,936.30"
Singapore,4130,JFE Lion,Carbide Coating,196,99,22,"$1,473.45",37633.1384,1.8,1.15,1.1,"$35,479,312.13"
Singapore,4130,JFE Lion,Carbide Coating,79,93,14,"$1,473.45",14316.23772,1.8,1.15,1.1,"$13,496,888.34"
Romania,4130,VAM TOP®,Xylan Coating,62,10,29,"$1,609.20",6605.198554,1.8,1.2,1.01,"$6,515,944.04"
Romania,4130,TenarisHydril Blue®,Cu Plating,113,32,28,"$1,609.20",19704.06912,1.8,1.17,1.02,"$19,139,509.55"
Romania,4130,JFE Lion,Cu Plating,181,96,29,"$1,609.20",63409.90612,1.8,1.15,1.02,"$60,540,216.71"
Romania,4130,VAM TOP®,Cu Plating,95,123,40,"$1,609.20",154566.3586,1.8,1.2,1.02,"$153,987,419.85"
Singapore,F22,JFE Lion,Phosphating,144,99,14,"$2,215.29",15239.86596,2.5,1.15,1,"$27,274,443.83"
USA,4130,JFE Lion,Cu Plating,30,111,15,"$1,690.50",19615.31913,1.8,1.15,1.02,"$19,673,760.97"
Brazil,F22,TenarisHydril Blue®,Xylan Coating,157,53,38,"$2,379.00",60108.09224,2.5,1.17,1.01,"$118,708,263.04"
India,F22,JFE Lion,Carbide Coating,54,134,26,"$1,998.00",71144.50723,2.5,1.15,1.1,"$126,320,464.41"
Europe,F22,JFE Lion,Xylan Coating,56,57,20,"$2,400.00",17907.07813,2.5,1.15,1.01,"$35,067,234.12"
USA,F22,TenarisHydril Blue®,Xylan Coating,200,86,5,"$2,528.07",1688.606051,2.5,1.17,1.01,"$3,543,814.66"
Europe,4130,TenarisHydril Blue®,Ni Plating,114,37,13,"$1,470.00",4911.094716,1.8,1.17,1.05,"$4,485,900.44"
China,4130,TenarisHydril Blue®,Phosphating,20,116,36,"$1,370.00",118073.6183,1.8,1.17,1,"$95,727,810.56"
India,4130,VAM TOP®,Cu Plating,88,97,29,"$1,190.00",64070.42598,1.8,1.2,1.02,"$47,202,479.86"
India,F22,VAM TOP®,Ni Plating,30,39,10,"$1,998.00",3063.052837,2.5,1.2,1.05,"$5,417,099.92"
Brazil,4130,TenarisHydril Blue®,Xylan Coating,110,75,1,"$1,781.00",58.90486225,1.8,1.17,1.01,"$62,704.85"
China,4130,VAM TOP®,Carbide Coating,61,128,21,"$1,370.00",44334.15553,1.8,1.2,1.1,"$40,551,951.97"
Romania,F22,JFE Lion,Phosphating,187,134,37,"$2,415.00",144078.1515,2.5,1.15,1,"$281,099,084.96"
India,4130,VAM TOP®,Xylan Coating,36,85,38,"$1,190.00",96399.77058,1.8,1.2,1.01,"$70,324,136.23"
Romania,4130,TenarisHydril Blue®,Ni Plating,193,38,38,"$1,609.20",43096.36802,1.8,1.17,1.05,"$43,092,796.74"
USA,F22,VAM TOP®,Carbide Coating,196,55,26,"$2,528.07",29201.10372,2.5,1.2,1.1,"$68,455,543.30"
USA,4130,TenarisHydril Blue®,Xylan Coating,59,125,11,"$1,690.50",11879.14722,1.8,1.17,1.01,"$12,002,908.64"
China,4130,TenarisHydril Blue®,Cu Plating,164,82,11,"$1,370.00",7792.720577,1.8,1.17,1.02,"$6,444,281.90"
USA,F22,JFE Lion,Xylan Coating,112,72,16,"$2,528.07",14476.45895,2.5,1.15,1.01,"$29,861,868.65"
Brazil,F22,VAM TOP®,Cu Plating,27,69,37,"$2,379.00",74189.49591,2.5,1.2,1.02,"$151,762,547.71"
Europe,4130,TenarisHydril Blue®,Carbide Coating,157,133,37,"$1,470.00",143002.9414,1.8,1.17,1.1,"$136,842,083.24"
USA,F22,VAM TOP®,Ni Plating,123,47,19,"$2,528.07",13325.85064,2.5,1.2,1.05,"$29,819,537.96"
India,4130,JFE Lion,Phosphating,89,46,21,"$1,190.00",15932.58714,1.8,1.15,1,"$11,028,334.48"
USA,F22,JFE Lion,Cu Plating,22,25,18,"$2,528.07",6361.725124,2.5,1.15,1.02,"$13,252,821.11"
Singapore,4130,TenarisHydril Blue®,Ni Plating,13,31,2,"$1,473.45",97.38937226,1.8,1.17,1.05,"$89,166.34"
Romania,4130,VAM TOP®,Phosphating,6,131,21,"$1,609.20",45373.2373,1.8,1.2,1,"$44,316,949.79"
USA,4130,JFE Lion,Cu Plating,85,97,39,"$1,690.50",115875.2888,1.8,1.15,1.02,"$116,220,527.40"
China,4130,TenarisHydril Blue®,Carbide Coating,4,96,6,"$1,370.00",2714.336053,1.8,1.17,1.1,"$2,420,703.26"
Europe,4130,VAM TOP®,Phosphating,155,103,9,"$1,470.00",6552.576877,1.8,1.2,1,"$5,846,413.53"
USA,F22,JFE Lion,Cu Plating,8,28,24,"$2,528.07",12666.90158,2.5,1.15,1.02,"$26,387,839.37"
Romania,F22,JFE Lion,Carbide Coating,76,2,21,"$2,415.00",692.7211801,2.5,1.15,1.1,"$1,486,662.74"
Singapore,F22,TenarisHydril Blue®,Ni Plating,134,17,1,"$2,215.29",13.35176878,2.5,1.17,1.05,"$25,526.48"
Romania,F22,TenarisHydril Blue®,Cu Plating,86,54,11,"$2,415.00",5131.7916,2.5,1.17,1.02,"$10,390,070.84"
India,4130,TenarisHydril Blue®,Cu Plating,57,72,31,"$1,190.00",54343.26972,1.8,1.17,1.02,"$39,035,305.75"
Singapore,F22,TenarisHydril Blue®,Cu Plating,68,119,36,"$2,215.29",121127.2464,2.5,1.17,1.02,"$224,959,735.88"
USA,4130,TenarisHydril Blue®,Carbide Coating,178,113,25,"$1,690.50",55468.74529,1.8,1.17,1.1,"$61,040,894.50"
India,4130,TenarisHydril Blue®,Phosphating,6,69,38,"$1,190.00",78253.93141,1.8,1.17,1,"$55,108,401.45"
India,4130,VAM TOP®,Carbide Coating,18,90,20,"$1,190.00",28274.33388,1.8,1.2,1.1,"$22,464,259.11"
USA,F22,TenarisHydril Blue®,Ni Plating,35,64,7,"$2,528.07",2463.00864,2.5,1.17,1.05,"$5,373,738.39"
India,4130,VAM TOP®,Carbide Coating,113,64,9,"$1,190.00",4071.504079,1.8,1.2,1.1,"$3,234,853.31"
USA,4130,JFE Lion,Phosphating,199,51,23,"$1,690.50",21189.25705,1.8,1.15,1,"$20,835,674.78"
USA,F22,VAM TOP®,Ni Plating,51,8,3,"$2,528.07",56.54866776,2.5,1.2,1.05,"$126,540.15"
China,4130,VAM TOP®,Carbide Coating,35,68,25,"$1,370.00",33379.42194,1.8,1.2,1.1,"$30,531,780.73"
China,4130,TenarisHydril Blue®,Carbide Coating,135,53,39,"$1,370.00",63313.30215,1.8,1.17,1.1,"$56,464,164.22"
USA,F22,TenarisHydril Blue®,Ni Plating,17,139,4,"$2,528.07",1746.725515,2.5,1.17,1.05,"$3,810,967.53"
China,4130,JFE Lion,Phosphating,47,96,7,"$1,370.00",3694.512961,1.8,1.15,1,"$2,944,112.67"
Romania,F22,JFE Lion,Cu Plating,1,77,12,"$2,415.00",8708.494836,2.5,1.15,1.02,"$17,330,239.89"
Europe,F22,TenarisHydril Blue®,Carbide Coating,86,108,20,"$2,400.00",33929.20066,2.5,1.17,1.1,"$73,622,361.78"
China,4130,TenarisHydril Blue®,Cu Plating,71,61,38,"$1,370.00",69181.01182,1.8,1.17,1.02,"$57,210,051.05"
Romania,4130,TenarisHydril Blue®,Carbide Coating,121,15,24,"$1,609.20",6785.840132,1.8,1.17,1.1,"$7,108,386.27"
India,F22,VAM TOP®,Ni Plating,171,119,33,"$1,998.00",101780.5334,2.5,1.2,1.05,"$180,001,896.19"
USA,4130,JFE Lion,Ni Plating,80,105,5,"$1,690.50",2061.670179,1.8,1.15,1.05,"$2,128,630.74"
Romania,4130,VAM TOP®,Carbide Coating,35,37,23,"$1,609.20",15372.59825,1.8,1.2,1.1,"$16,516,197.12"
Singapore,4130,VAM TOP®,Xylan Coating,193,24,22,"$1,473.45",9123.185066,1.8,1.2,1.01,"$8,240,685.36"
Singapore,4130,VAM TOP®,Cu Plating,17,85,32,"$1,473.45",68361.05614,1.8,1.2,1.02,"$62,359,756.35"
China,F22,JFE Lion,Xylan Coating,140,74,35,"$1,830.00",71196.34351,2.5,1.15,1.01,"$106,310,049.96"
India,F22,TenarisHydril Blue®,Carbide Coating,170,135,1,"$1,998.00",106.0287521,2.5,1.17,1.1,"$191,533.18"
India,F22,JFE Lion,Carbide Coating,29,117,7,"$1,998.00",4502.687671,2.5,1.15,1.1,"$7,994,736.63"
China,F22,JFE Lion,Ni Plating,183,102,10,"$1,830.00",8011.061267,2.5,1.15,1.05,"$12,435,825.26"
Europe,4130,JFE Lion,Cu Plating,141,121,32,"$1,470.00",97313.97404,1.8,1.15,1.02,"$84,872,966.15"
Brazil,4130,JFE Lion,Carbide Coating,96,25,8,"$1,781.00",1256.637061,1.8,1.15,1.1,"$1,432,000.38"
USA,4130,VAM TOP®,Ni Plating,113,54,38,"$1,690.50",61242.20719,1.8,1.2,1.05,"$65,980,466.17"
Singapore,F22,TenarisHydril Blue®,Ni Plating,55,73,10,"$2,215.29",5733.406593,2.5,1.17,1.05,"$10,961,369.50"
Romania,F22,TenarisHydril Blue®,Ni Plating,119,74,30,"$2,415.00",52307.51768,2.5,1.17,1.05,"$109,019,135.80"
Romania,4130,VAM TOP®,Xylan Coating,18,130,22,"$1,609.20",49417.25244,1.8,1.2,1.01,"$48,749,488.59"
Brazil,F22,VAM TOP®,Ni Plating,160,63,26,"$2,379.00",33448.53698,2.5,1.2,1.05,"$70,434,987.60"
India,4130,JFE Lion,Cu Plating,53,22,17,"$1,190.00",4993.561523,1.8,1.15,1.02,"$3,525,609.47"
India,F22,JFE Lion,Phosphating,163,115,14,"$1,998.00",17702.8746,2.5,1.15,1,"$28,574,816.22"
Singapore,F22,VAM TOP®,Cu Plating,95,52,10,"$2,215.29",4084.07045,2.5,1.2,1.02,"$7,779,497.73"
India,4130,TenarisHydril Blue®,Phosphating,186,81,9,"$1,190.00",5152.99735,1.8,1.17,1,"$3,628,871.31"
China,4130,TenarisHydril Blue®,Carbide Coating,64,136,36,"$1,370.00",138431.1387,1.8,1.17,1.1,"$123,455,866.03"
Romania,4130,JFE Lion,Xylan Coating,25,9,9,"$1,609.20",572.5552611,1.8,1.15,1.01,"$541,284.35"
Brazil,4130,JFE Lion,Phosphating,90,110,3,"$1,781.00",777.5441818,1.8,1.15,1,"$805,500.22"
China,4130,JFE Lion,Ni Plating,7,78,22,"$1,370.00",29650.35146,1.8,1.15,1.05,"$24,809,406.63"
China,F22,JFE Lion,Ni Plating,101,98,2,"$1,830.00",307.8760801,2.5,1.15,1.05,"$477,925.83"
Romania,F22,JFE Lion,Xylan Coating,31,29,1,"$2,415.00",22.77654674,2.5,1.15,1.01,"$44,881.83"
Singapore,F22,TenarisHydril Blue®,Carbide Coating,148,131,9,"$2,215.29",8333.859912,2.5,1.17,1.1,"$16,691,741.81"
USA,F22,JFE Lion,Phosphating,61,93,24,"$2,528.07",42072.20882,2.5,1.15,1,"$85,926,787.88"
Europe,4130,TenarisHydril Blue®,Phosphating,27,21,8,"$1,470.00",1055.575132,1.8,1.17,1,"$918,271.64"
USA,F22,TenarisHydril Blue®,Phosphating,92,126,12,"$2,528.07",14250.26428,2.5,1.17,1,"$29,610,395.21"
China,4130,VAM TOP®,Carbide Coating,22,37,20,"$1,370.00",11623.89282,1.8,1.2,1.1,"$10,632,243.64"
Romania,4130,JFE Lion,Ni Plating,122,24,39,"$1,609.20",28670.17456,1.8,1.15,1.05,"$28,177,750.90"
Singapore,F22,VAM TOP®,Cu Plating,64,123,39,"$2,215.29",146934.6446,2.5,1.2,1.02,"$279,886,879.61"
Europe,4130,TenarisHydril Blue®,Ni Plating,21,35,6,"$1,470.00",989.6016859,1.8,1.17,1.05,"$903,923.65"
USA,F22,TenarisHydril Blue®,Cu Plating,171,111,31,"$2,528.07",83779.20749,2.5,1.17,1.02,"$177,565,138.69"
Brazil,F22,TenarisHydril Blue®,Xylan Coating,178,120,34,"$2,379.00",108950.4332,2.5,1.17,1.01,"$215,167,645.54"
Europe,F22,VAM TOP®,Xylan Coating,156,132,30,"$2,400.00",93305.30181,2.5,1.2,1.01,"$190,663,039.49"
USA,4130,VAM TOP®,Xylan Coating,43,36,12,"$1,690.50",4071.504079,1.8,1.2,1.01,"$4,219,407.73"
Europe,4130,TenarisHydril Blue®,Xylan Coating,56,8,32,"$1,470.00",6433.981755,1.8,1.17,1.01,"$5,653,055.12"
Romania,F22,JFE Lion,Ni Plating,179,3,31,"$2,415.00",2264.302905,2.5,1.15,1.05,"$4,638,580.81"
Romania,4130,VAM TOP®,Xylan Coating,164,125,13,"$1,609.20",16591.5362,1.8,1.2,1.01,"$16,367,338.63"
Brazil,F22,TenarisHydril Blue®,Ni Plating,121,42,13,"$2,379.00",5574.756164,2.5,1.17,1.05,"$11,445,685.49"
India,4130,TenarisHydril Blue®,Phosphating,55,110,7,"$1,190.00",4233.296101,1.8,1.17,1,"$2,981,194.39"
China,4130,VAM TOP®,Xylan Coating,136,45,36,"$1,370.00",45804.42089,1.8,1.2,1.01,"$38,468,868.17"
India,4130,TenarisHydril Blue®,Phosphating,31,104,38,"$1,190.00",117947.9546,1.8,1.17,1,"$83,061,938.42"
India,F22,JFE Lion,Ni Plating,125,63,18,"$1,998.00",16031.54731,2.5,1.15,1.05,"$27,170,923.08"
India,4130,JFE Lion,Cu Plating,152,91,2,"$1,190.00",285.8849315,1.8,1.15,1.02,"$201,843.64"
USA,4130,TenarisHydril Blue®,Cu Plating,20,69,38,"$1,690.50",78253.93141,1.8,1.17,1.02,"$79,852,073.70"
Europe,F22,VAM TOP®,Phosphating,168,118,12,"$2,400.00",13345.48559,2.5,1.2,1,"$27,000,586.45"
Brazil,4130,TenarisHydril Blue®,Cu Plating,113,37,12,"$1,781.00",4184.601415,1.8,1.17,1.02,"$4,498,656.94"
Singapore,4130,JFE Lion,Carbide Coating,62,113,27,"$1,473.45",64698.74451,1.8,1.15,1.1,"$60,995,894.81"
Romania,4130,TenarisHydril Blue®,Ni Plating,1,123,27,"$1,609.20",70424.29712,1.8,1.17,1.05,"$70,418,461.25"
India,4130,TenarisHydril Blue®,Ni Plating,101,25,3,"$1,190.00",176.7145868,1.8,1.17,1.05,"$130,669.23"
Romania,4130,JFE Lion,Ni Plating,104,114,6,"$1,609.20",3223.274063,1.8,1.15,1.05,"$3,167,912.82"
Brazil,F22,VAM TOP®,Ni Plating,187,90,26,"$2,379.00",47783.62426,2.5,1.2,1.05,"$100,621,410.86"
Romania,4130,TenarisHydril Blue®,Phosphating,18,45,16,"$1,609.20",9047.786842,1.8,1.17,1,"$8,616,225.79"
Singapore,F22,TenarisHydril Blue®,Cu Plating,112,126,28,"$2,215.29",77584.77217,2.5,1.17,1.02,"$144,091,856.97"
India,F22,JFE Lion,Xylan Coating,70,121,32,"$1,998.00",97313.97404,2.5,1.15,1.01,"$158,648,596.68"
Singapore,4130,TenarisHydril Blue®,Carbide Coating,120,74,30,"$1,473.45",52307.51768,1.8,1.17,1.1,"$50,171,476.90"
Europe,4130,VAM TOP®,Carbide Coating,121,55,7,"$1,470.00",2116.64805,1.8,1.2,1.1,"$2,077,393.37"
India,F22,JFE Lion,Xylan Coating,55,67,18,"$1,998.00",17049.42333,2.5,1.15,1.01,"$27,795,258.72"
Europe,F22,JFE Lion,Phosphating,130,18,35,"$2,400.00",17318.0295,2.5,1.15,1,"$33,577,927.40"
Europe,4130,JFE Lion,Carbide Coating,173,45,19,"$1,470.00",12758.79316,1.8,1.15,1.1,"$12,000,415.47"
Singapore,F22,JFE Lion,Carbide Coating,142,118,10,"$2,215.29",9267.698328,2.5,1.15,1.1,"$18,244,809.36"
India,F22,TenarisHydril Blue®,Carbide Coating,194,45,21,"$1,998.00",15586.22655,2.5,1.17,1.1,"$28,155,376.81"
Singapore,F22,JFE Lion,Ni Plating,151,137,9,"$2,215.29",8715.563419,2.5,1.15,1.05,"$16,377,949.30"
USA,4130,VAM TOP®,Phosphating,134,76,39,"$1,690.50",90788.8861,1.8,1.2,1,"$93,155,378.31"
India,F22,VAM TOP®,Cu Plating,49,77,23,"$1,998.00",31991.62339,2.5,1.2,1.02,"$54,961,617.94"
Singapore,F22,JFE Lion,Ni Plating,186,41,35,"$2,215.29",39446.62276,2.5,1.15,1.05,"$74,126,566.08"
India,4130,JFE Lion,Ni Plating,155,95,13,"$1,190.00",12609.56751,1.8,1.15,1.05,"$9,164,591.62"
Brazil,4130,JFE Lion,Phosphating,13,57,3,"$1,781.00",402.9092578,1.8,1.15,1,"$417,395.57"
Brazil,4130,JFE Lion,Carbide Coating,153,63,2,"$1,781.00",197.9203372,1.8,1.15,1.1,"$225,540.06"
Singapore,F22,TenarisHydril Blue®,Ni Plating,11,14,22,"$2,215.29",5321.857955,2.5,1.17,1.05,"$10,174,553.39"
Singapore,F22,VAM TOP®,Xylan Coating,47,46,19,"$2,215.29",13042.3219,2.5,1.2,1.01,"$24,599,962.80"
Europe,4130,VAM TOP®,Carbide Coating,100,138,36,"$1,470.00",140466.8907,1.8,1.2,1.1,"$137,861,836.72"
Brazil,F22,JFE Lion,Cu Plating,36,120,25,"$2,379.00",58904.86225,2.5,1.15,1.02,"$115,475,520.24"
Romania,F22,JFE Lion,Phosphating,144,14,22,"$2,415.00",5321.857955,2.5,1.15,1,"$10,383,041.33"
Brazil,4130,TenarisHydril Blue®,Carbide Coating,102,80,16,"$1,781.00",16084.95439,1.8,1.17,1.1,"$18,648,380.63"
